2025-06-25 13:01:32,0.00V,0%
2025-06-25 13:01:42,0.00V,0%
2025-06-25 13:01:52,0.00V,0%
2025-06-25 13:02:00,0.00V,0%
2025-06-25 13:02:02,0.00V,0%
2025-06-25 13:02:10,0.00V,0%
2025-06-25 13:02:12,0.00V,0%
2025-06-25 13:02:20,0.00V,0%
2025-06-25 13:02:22,0.00V,0%
2025-06-25 13:02:30,0.00V,0%
2025-06-25 13:02:32,0.00V,0%
2025-06-25 13:02:40,0.00V,0%
2025-06-25 13:02:42,0.00V,0%
2025-06-25 13:02:50,0.00V,0%
2025-06-25 13:02:52,0.00V,0%
2025-06-25 13:03:00,0.00V,0%
2025-06-25 13:03:02,0.00V,0%
2025-06-25 13:03:10,69.88V,0%
2025-06-25 13:03:12,69.88V,0%
2025-06-25 13:03:20,69.88V,0%
2025-06-25 13:03:22,69.88V,0%
2025-06-25 13:03:50,69.92V,0%
2025-06-25 13:04:00,69.92V,0%
2025-06-25 13:04:10,69.92V,0%
2025-06-25 13:04:14,69.92V,0%
2025-06-25 13:04:20,69.92V,0%
2025-06-25 13:04:24,69.92V,0%
2025-06-25 13:04:30,69.92V,0%
2025-06-25 13:04:34,69.92V,0%
2025-06-25 13:04:40,69.92V,0%
2025-06-25 13:04:44,69.92V,0%
2025-06-25 13:04:50,69.92V,0%
2025-06-25 13:04:54,69.92V,0%
2025-06-25 13:05:00,69.92V,0%
2025-06-25 13:05:04,69.92V,0%
